iteration,pos_x,pos_y,pos_z,max_temp,min_dist_rib,is_safe,solver_cost,ai_reasoning_len
1,8.0000,0.0000,18.0000,30.26,2.00,False,0.0000,0
2,6.0000,0.0000,18.0000,36.00,4.00,True,1.8000,245
